
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Corn contemp",="Corn lag",="Corn MA3",="Soy contemp",="Soy lag",="Soy MA3"

="temp_avg",="0.0031",="",="",="-0.0244*",="",=""
="",="(0.0119)",="",="",="(0.0135)",="",=""

="precip_total",="-0.0007***",="",="",="-0.0006***",="",=""
="",="(0.0001)",="",="",="(0.0001)",="",=""

="L1_temp",="",="0.0106",="",="",="-0.0002",=""
="",="",="(0.0095)",="",="",="(0.0139)",=""

="L1_precip",="",="-0.0003**",="",="",="-0.0003***",=""
="",="",="(0.0001)",="",="",="(0.0001)",=""

="temp_ma3",="",="",="0.0156",="",="",="-0.0384"
="",="",="",="(0.0191)",="",="",="(0.0237)"

="precip_ma3",="",="",="-0.0007***",="",="",="-0.0005***"
="",="",="",="(0.0002)",="",="",="(0.0002)"

="N",="913.0000",="841.0000",="768.0000",="910.0000",="836.0000",="763.0000"
="Within R-squared",="0.5525",="0.4971",="0.5088",="0.5111",="0.4490",="0.4528"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
